ISIN,Nombre,Ticker,Gestora,TipoProducto,EstiloGestion,Estrategia,PoliticaDiv,Divisa,EsHedged,TER,EscalaRiesgo,ClaseActivo,Expo_RV,Expo_RF,Expo_Monet,Expo_Alt,Geo_RV_USA,Geo_RV_Europa,Geo_RV_Japon,Geo_RV_Canada,Geo_RV_China,Geo_RV_India,Geo_RV_Taiwan,Geo_RV_Korea,Geo_RV_Brasil,Geo_RV_Emergentes_Otros,Geo_RV_Otros,Geo_RF_USA,Geo_RF_Europa,Geo_RF_Emergentes,Geo_RF_Otros,Sec_Tecnologia,Sec_Salud,Sec_Finanzas,Sec_Consumo,Sec_Industrial,Sec_Energia,Sec_Otros,RF_Duracion,RF_Calidad,RF_Gobierno,RF_Corporativo,RF_Yield,Ret_1Y,Ret_3Y_Ann,Ret_5Y_Ann,Volatilidad_3Y,Sharpe_3Y,Alpha_3Y,Beta_3Y
IE00B42LF923,Vanguard Global Small Cap INS US,,Vanguard,Fondo,Pasiva,Small Cap,Acc,USD,No,0.003,4,RV,1,0,0,0,0.638,0.096,0.121,0.04,0,0,0,0,0,0,0.105,0,0,0,0,0.161,0.104,0.14,0.14,0.204,0.044,0.207,0,Ninguna,0,0,0,0.2788,0.1445,0.082,0.1458,,,
LU0329070915,Jupiter India Select L Eur Acc,,Jupiter,Fondo,Activa,,Acc,EUR,No,0.0198,4,RV,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0379,0.1392,0.2999,0.2027,0.1013,0.1013,0.1177,0,Ninguna,0,0,0,-0.1014,0.1009,0.1078,0.1666,,,
ES0165265002,MyInvestor Nasdaq 100,,MyInvestor,Fondo,Pasiva,,Acc,EUR,No,0.004,4,RV,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,Ninguna,0,0,0,0.2598,0.2036,0.1028,0.1818,,,
LU1213836080,Fidelity Funds - Global Technology Fund A-Acc-EUR,,Fidelity,Fondo,Activa,,Acc,EUR,No,0.019,4,RV,1,0,0,0,0.5254,0.1575,0.0447,0,0.0864,0,0.122,0.0285,0,0,0.0356,0,0,0,0,0.6697,0,0.0354,0.0808,0.0404,0,0.1737,0,Ninguna,0,0,0,0.224,0.2017,0.1379,0.1676,1.03,-0.0055,0.69
LU2145461757,RobecoSAM Smart Energy Equities D EUR,,Robeco,Fondo,Activa,,Acc,EUR,No,0.0172,5,RV,1,0,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,,0,Ninguna,0,0,0,0.622,0.2104,0.139,0.2428,,,
ES0112611001,Azvalor Internacional FI,,Azvalor,Fondo,Activa,Value,Acc,EUR,No,0.0189,5,RV,1,0,0,0,0.2394,0.4167,0.0002,0.2039,0.0002,0,0,0,0.0639,0.0356,0.0408,0,0,0,0,0.0018,0.0131,0.1274,0.1436,0.0684,0.3918,0.2539,0,Ninguna,0,0,0,0.4404,0.1539,0.2117,0.1505,0.81,0.0292,0.68
ES0159259011,Magallanes European Equity M FI,,Magallanes,Fondo,Activa,,Acc,EUR,No,0.018,4,RV,1,0,0,0,0.0365,0.9205,0,0,0,0,0,0,0,0,0.043,0,0,0,0,,,,,,,,0,Ninguna,0,0,0,0.1987,0.1097,0.1201,0.1344,,,
LU1598720172,Cobas Large Cap Fund-P Acc EUR,,Cobas,Fondo,Activa,Value,Acc,EUR,No,0.0141,4,RV,1,0,0,0,0.1247,0.5499,0,0,0,0,0,0.0711,0.0263,0.095,0,0,0,0,0,0.0417,0.1858,0,0.1642,0.162,0.2489,0.1974,0,Ninguna,0,0,0,0.4388,0.2455,0.1795,0.1291,1.59,0.0901,0.84
IE00BDGV0290,Guinness Global Equity Income D EUR Accumulation,,Guinness,Fondo,Activa,,Acc,EUR,No,0.0127,3,RV,1,0,0,0,0.5717,0.3636,0,0,0.0232,0,0.0414,0,0,0,0,0,0,0,0,0.1808,0.1444,0.1313,0.2323,0.2828,0,0.0283,0,Ninguna,0,0,0,0.1199,0.1017,0.0899,0.1019,,,
LU0168343274,JPMorgan Funds - Global Focus Fund D (acc) EUR,,JPMorgan,Fondo,Activa,,Acc,EUR,No,0.0268,4,RV,1,0,0,0,0.7215,0.1604,0.0626,0,0,0,0,0,0,0.0343,0.0212,0,0,0,0,0.3007,0.0757,0.1907,0.1302,0.0807,0,0.222,0,Ninguna,0,0,0,0.1111,0.1149,0.0865,0.1313,0.67,-0.0513,1.06
IE00BH481053,GQG Partners Global Equity Fund Class A Euro Acc,,GQG Partners,Fondo,Activa,,Acc,EUR,No,0.0135,4,RV,1,0,0,0,0.6182,0.2403,0,0.0287,0,0.0513,0,0,0.0331,0,0.0284,0,0,0,0,0.047,0.115,0.1498,0.2335,0.0233,0.1553,0.2761,0,Ninguna,0,0,0,0.0908,0.0921,0.0795,0.1348,,,
LU1623762843,Carmignac Portfolio Credit A EUR Acc,,Carmignac,Fondo,Activa,,Acc,EUR,No,0.012,2,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,4.1,,,,0.055,0.0302,0.0732,0.0221,0.0323,,,
FR0010149120,Carmignac Sécurité A EUR Acc,,Carmignac,Fondo,Activa,,Acc,EUR,No,0.0111,2,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2.6,A-,0.1889,0.8111,0.039,0.0076,0.0366,0.0131,0.0158,,,
IE00BL1GVT98,Neuberger Berman Ultra Short Term Euro Bond Fund Class EUR U Accumulating,,Neuberger,Fondo,Activa,,Acc,EUR,No,0.0036,2,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1.93,A-,,,0.0381,0.0182,0.0523,0.0242,0.0174,,,
ES0140794001,Gamma Global FI,,Singular Asset Management,Fondo,Activa,Flexible,Acc,EUR,No,0.0086,3,Mixto,0.067,0.8588,0.0619,0,0,0.6236,0,0.0491,0.0579,0,0,0,0.0989,0.0479,0,0.0043,0.6867,0.2696,0.0394,0,0.1509,0.1324,0.2429,0.0989,0.2386,0.1364,1.47,11.1,0,0.5276,0.1006,0.0867,0.0885,0.0713,0.0242,2.32,0.0501,0.3
ES0140072028,Abaco Renta Fija Mixta Global C FI,,Abaco Capital,Fondo,Activa,Flexible,Acc,EUR,No,0.0148,3,Mixto,0.2646,0.7056,0.0217,0,0.0682,0.5065,0,0.2107,0,0,0,0,0.0976,0.1097,0,0.1313,0.7105,0.1003,0.0566,0.0433,0.0029,0.09,0.4014,0.1335,0.1245,0.2044,2.44,8.8,0.1377,0.4273,0.046,0.0346,0.051,0.055,0.0354,0.71,0.0196,0.24
FR0000989626,Groupama Trésorerie IC,,Groupama,Fondo,Activa,,Acc,EUR,No,0.0013,1,Monetario,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.05,BBB+,,,0.026,0.0213,0.0311,0.0213,0.0026,,,
FR0000447823,AXA Trésor Court Terme C,,BNP Paribas,Fondo,Activa,,Acc,EUR,No,0.0006,1,Monetario,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,A+,,,,0.0213,0.0308,0.0211,0.0025,,,
LU1295551144,Capital Group New Perspective Lux B Eur,,Capital Group,Fondo,Activa,,Acc,EUR,No,0.0159,4,RV,1,0,0,0,0.5748,0.25,0.0522,0,0,0,0,0,0,0.1086,0.0143,0,0,0,0,0.3207,0.1086,0.1035,0.1609,0.1383,0.0164,0.1516,0,Ninguna,0,0,0,0.1453,0.1337,0.0713,0.1201,,,
LU0840158819,STORM BOND FUND RC EUR ACC,,Storm,Fondo,Activa,,Acc,EUR,No,0.01006,2,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1.3,,0.0626,0.9374,0.0697,0.0501,0.0644,0.064,0.0113,,,
LU2023199552,NORDIC CROSS CREDIT A ACC EURH,,Pareto Asset management,Fondo,Activa,,Acc,EUR,Si,0.0067,2,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.01,0,0.41,0.15,0.11,0.03,0.23,0.4,10,0.0297,0.8447,0.049,0.0342,0.0524,0.0369,0.0079,3.4,,
IE00B8J38129,Algebris Financial Credit R EUR Acc,,Algebris Investments,Fondo,Activa,,Acc,EUR,No,0.013,3,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,3.2,BBB,0,1,0.047,0.0385,0.0824,0.0285,0.0484,,,
LU0170293632,Candriam Bonds Global High Yield Class N EUR Cap,,Candriam,Fondo,Activa,,Acc,EUR,Si,0.0187,2,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,3.21,BB,,,0.0579,0.021,0.0534,0.028,0.0336,,,
LU1670631289,M&G (Lux) Emerging Markets Bond Fund EUR A-H Acc,,M&G,Fondo,Activa,,Acc,EUR,Si,0.0146,3,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,5.93,,,,,0.0658,0.0611,0.0073,0.0681,,,
ES0116567035,"Cartesio X , Fi",,Cartesio Inversiones,Fondo,Activa,Flexible,Acc,EUR,No,0.0074,2,Mixto,0.1486,0.7738,0.0774,0,0.0266,0.865,0,0,0.0285,0,0,0,0,0,0.0388,0.023,0.9649,0,0.0121,0.0007,0.0303,0.1807,0.2154,0.1386,0.0684,0.366,4.6,BB,0,0.929,0.05,0.0577,0.0847,0.0543,0.0386,1.94,0.0408,0.76
IE00BD8PGZ49,iShares $ Treasury Bond 20+yr UCITS ETF EUR Hedged Dist,DTLE,iShares,ETF,Pasiva,,Dist,EUR,Si,0.001,,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.34,,1,0,,0.0058,-0.0355,-0.086,0.1376,,,1
LU0918140210,T. Rowe Price Funds SICAV - US Smaller Companies Equity Fund A EUR,,T. Rowe Price,Fondo,Activa,Small Cap,Acc,EUR,No,0.0173,4,RV,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,Ninguna,0,0,0,0.2114,0.0917,0.0555,0.166,,,
LU0329355670,Robeco QI EM Active Equities D EUR,,Robeco,Fondo,Activa,,Acc,EUR,No,0.0152,4,RV,1,0,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,,0,Ninguna,0,0,0,0.4196,0.2336,0.1272,0.1502,,0.0535,0.99
ES0165242001,MyInvestor S&P500 Equiponderado,,MyInvestor,Fondo,Pasiva,,Acc,EUR,No,0.0042,4,RV,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,Ninguna,0,0,0,0.1862,0.1101,0.0725,0.1304,,,
IE00B246KL88,Vanguard 20+ Year Euro Treasury Index Fund,,Vanguard,Fondo,Pasiva,,Acc,EUR,No,0.0016,4,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,18.8,,1,0,,-0.073,-0.0446,-0.1251,0.1276,,,
LU1694789451,DNCA Invest Alpha Bonds A EUR,,Natixis,Fondo,Activa,Alternativo,Acc,EUR,No,0.0131,2,Alternativo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2034,0.3395,0.0502,0.1008,,,,,,,,2.6,A+,0.4577,0.0016,0.0334,0.0308,0.0388,0.0474,0.0199,0.54,0.0234,0.97
LU0849399786,SISF EURO HIGH YIELD A ACC EUR,,Schroders,Fondo,Activa,,Acc,EUR,No,0.0128,2,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,0.776,0.075,,,,0.152,,0.71,,0.137,3,5,0.0494,0.5321,0.069,0.028,0.0801,0.0271,0.0357,1.52,0.0054,1.02
ES0175414012,Dunas Valor Equilibrio R FI,,Dunas Capital,Fondo,Activa,Multiestrategia,Acc,EUR,No,0.0127,2,Alternativo,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,1.34,,,,0.0298,0.018,0.0466,0.0408,0.0188,,,
IE00BLP5S460,JupiterMerian Global Equity Absolute Return Fund L (EUR) Hedged Acc,,Jupiter,Fondo,Activa,Market Neutral,Acc,EUR,Si,0.0155,2,Alternativo,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1043,0.0982,0.0899,0.0398,,,
LU0996182647,Amundi IS MSCI World AE-D,,Amundi,Fondo,Pasiva,,Dist,EUR,No,0.003,4,RV,1,0,0,0,0.7243,0.1439,0.0573,0.0335,0,0,0,0,0,0,0.0409,0,0,0,0,0.2974,0.0923,0.1595,0.1409,0.1156,0.0363,0.1579,0,Ninguna,0,0,0,0.2106,0.169,0.1136,0.1169,,,
IE00B03HD209,Vanguard Global Stock Index Fund USD Acc,,Vanguard,Fondo,Pasiva,,Acc,USD,No,0.0018,4,RV,1,0,0,0,0.725,0.128,0.057,0.033,0,0,0,0,0,0,0.057,0,0,0,0,0.303,0.091,0.159,0.139,0.116,0.036,0.156,0,Ninguna,0,0,0,0.2144,0.1686,0.1155,0.1165,,,
LU0996179189,Amundi IS S&P 500 AE-D,,Amundi,Fondo,Pasiva,,Dist,EUR,No,0.003,4,RV,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3662,0.1155,0.1291,0.1009,0.095,0.0165,0.1768,0,Ninguna,0,0,0,0.2311,0.1763,0.133,0.1302,,,
IE0002639775,Vanguard U.S. 500 Stock Index Fund USD Acc,,Vanguard,Fondo,Pasiva,,Acc,USD,No,0.001,4,RV,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.089,0.118,0.139,0.089,0.03,0.155,0,Ninguna,0,0,0,0.2135,0.1758,0.1271,0.1301,,,
LU0996177217,Amundi IS MSCI Emerging Markets AE-D,,Amundi,Fondo,Pasiva,,Dist,EUR,No,0.0045,4,RV,1,0,0,0,0,0,0,0,0.1919,0.1122,0.2689,0.2368,0.0383,0.1518,0,0,0,0,0,0.446,0.0242,0.1866,0.1003,0.0682,0.0314,0.1434,0,Ninguna,0,0,0,0.3829,0.1934,0.0785,0.1616,,,
IE0031787223,Vanguard Emerging Markets Stock Index Fund USD Acc,,Vanguard,Fondo,Pasiva,,Acc,USD,No,0.0023,4,RV,1,0,0,0,0,0,0,0,0.19,0.111,0.273,0.237,0.038,0.151,0,0,0,0,0,0.453,0.024,0.184,0.099,0.067,0.031,0.142,0,Ninguna,0,0,0,0.3516,0.1845,0.0745,0.1585,,,
IE0007987708,Vanguard European Stock Index Fund EUR Acc,,Vanguard,Fondo,Pasiva,,Acc,EUR,No,0.0012,4,RV,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0.132,0.244,0.149,0.191,0.044,0.139,0,Ninguna,0,0,0,0.2024,0.1446,0.1026,0.1069,,,
LU0389811968,Amundi IS MSCI Europe AE-D,,Amundi,Fondo,Pasiva,,Dist,EUR,No,0.003,4,RV,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0978,0.1333,0.2437,0.1519,0.1885,0.0443,0.1406,0,Ninguna,0,0,0,0.1941,0.1386,0.0982,0.1068,,,
IE00BYX5ML46,Fidelity MSCI Europe Index Fund P-ACC-EUR (hedged),,Fidelity,Fondo,Pasiva,,Acc,EUR,Si,0.002,4,RV,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1015,0.1317,0.2442,0.1487,0.191,0.0442,0.1387,0,Ninguna,0,0,0,0.1918,0.1395,0.0962,0.1017,,,
IE00B3ZW0K18,iShares S&P 500 EUR Hedged UCITS ETF EUR Acc,IUSE,iShares,ETF,Pasiva,Core,Acc,EUR,Si,0.002,4,RV,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3616,0.0895,0.1227,0.0924,0.0854,0.0331,0.2154,0,Ninguna,0,0,0,0.1917,0.1773,0.1046,0.1295,1.11,,1
IE00BK5BQT80,Vanguard FTSE All-World UCITS ETF USD Acc,,Vanguard,ETF,Pasiva,,Acc,USD,No,0.0019,,RV,1,0,0,0,0.617,0.09,0.059,0.029,0.026,0,0.034,0.029,0,0,0.116,0,0,0,0,0.351,0.078,0.148,0.149,0.126,0.037,0.111,0,Ninguna,0,0,0,0.2358,0.1966,0.1096,,,,
IE00BF4RFH31,iShares MSCI World Small Cap UCITS ETF USD Acc,WSML,iShares,ETF,Pasiva,Small Cap,Acc,USD,No,0.0035,4,RV,1,0,0,0,0.6352,0.1579,0.1202,0.0396,0,0,0,0,0,0,0.047,0,0,0,0,0.1595,0.1041,0.1393,0.1021,0.2017,0.0437,0.2496,0,Ninguna,0,0,0,0.302,0.175,0.0752,0.2183,0.51,0.0014,1
IE00BKM4GZ66,iShares Core MSCI EM IMI UCITS ETF USD Acc,EIMI,iShares,ETF,Pasiva,Core,Acc,USD,No,0.0018,4,RV,1,0,0,0,0,0,0,0,0.1765,0.1222,0.2729,0.2244,0.0327,0.1713,0,0,0,0,0,0.4275,0.0311,0.1765,0.1037,0.0793,0.0283,0.1536,0,Ninguna,0,0,0,0.403,0.2215,0.0721,0.1651,0.15,0.0015,1
IE00B3WJKG14,iShares S&P 500 Information Technology Sector UCITS ETF USD Acc,IUIT,iShares,ETF,Pasiva,,Acc,USD,No,0.0015,,RV,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Ninguna,0,0,0,0.3759,0.3099,0.2197,,,,1
IE00B4ND3602,iShares Physical Gold ETC USD,SGLN,iShares,ETF,Pasiva,,Acc,USD,No,0.0012,,Alternativo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ninguna,0,0,0,0.2232,0.2801,0.1781,,,,
IE00B8GKDB10,Vanguard FTSE All-World High Dividend Yield UCITS ETF USD Dist,,Vanguard,ETF,Pasiva,,Dist,USD,No,0.0029,,RV,1,0,0,0,0.4,0.188,0.093,0.046,0.031,0,0.033,0,0,0,0.209,0,0,0,0,0.071,0.112,0.297,0.162,0.125,0.082,0.151,0,Ninguna,0,0,0,0.2433,0.181,0.1102,,,,
IE00B53SZB19,iShares NASDAQ 100 UCITS ETF USD Acc,CSNDX,iShares,ETF,Pasiva,,Acc,USD,No,0.003,,RV,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,Ninguna,0,0,0,0.3385,0.263,0.1619,,,,1
IE00BDBRDM35,iShares Core Global Aggregate Bond UCITS ETF EUR Hedged Acc,AGGH,iShares,ETF,Pasiva,,Acc,EUR,Si,0.001,,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,6.16,,,,,0.0102,0.0243,-0.0128,0.0404,,,0.55
IE00B945VV12,Vanguard FTSE Developed Europe UCITS ETF EUR Dist,,Vanguard,ETF,Pasiva,,Dist,EUR,No,0.001,,RV,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,0.131,0.247,0.152,0.186,0.056,0.131,0,Ninguna,0,0,0,0.2213,0.1492,0.1054,,,,
IE000NFR7C63,iShares MSCI China Tech UCITS ETF USD Acc,CTEC,iShares,ETF,Pasiva,Growth,Acc,USD,No,0.0045,6,RV,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4862,0,0.0082,0.1926,0.0775,0,0.2317,0,Ninguna,0,0,0,0.1504,0.1528,0,0.2054,1.05,-0.0123,1
IE00BMC38736,VanEck Semiconductor UCITS ETF USD,SMH,VanEck,ETF,Pasiva,,,USD,No,0.0035,,RV,1,0,0,0,0.765,0.11,0,0,0,0,0.099,0,0,0,0.0259,0,0,0,0,1,0,0,0,0,0,0,0,Ninguna,0,0,0,1.675,0.6366,0.3817,,,,
IE00B1FZS350,iShares Developed Markets Property Yield UCITS ETF USD Dist,IWDP,iShares,ETF,Pasiva,,Dist,USD,No,0.0059,,RV,1,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,Ninguna,0,0,0,0.1167,0.0901,0.0123,,,,1
IE00BZCQB185,iShares MSCI India UCITS ETF USD Acc,NDIA,iShares,ETF,Pasiva,,Acc,USD,No,0.0065,,RV,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,Ninguna,0,0,0,-0.126,0.0538,0.0465,,,,0.99
IE00BG0J4C88,iShares Digital Security UCITS ETF USD Acc,LOCK,iShares,ETF,Pasiva,,Acc,USD,No,0.004,,RV,1,0,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,,0,Ninguna,0,0,0,0.1883,0.2,0.0876,,,,1.01
IE00BJ5JNZ06,iShares MSCI World Health Care Sector Advanced UCITS ETF USD Dist,WHCS,iShares,ETF,Pasiva,,Dist,USD,No,0.0018,,RV,1,0,0,0,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,Ninguna,0,0,0,0.1303,0.0488,0.039,,,,1
IE00B53L4350,iShares Dow Jones Industrial Average UCITS ETF USD Acc,CIND,iShares,ETF,Pasiva,,Acc,USD,No,0.0033,,RV,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,Ninguna,0,0,0,0.1982,0.1635,0.1007,,,,1
IE00BM67HL84,Xtrackers MSCI World Financials UCITS ETF 1C USD Acc,XDWF,Xtrackers,ETF,Pasiva,,Acc,USD,No,0.0025,,RV,1,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,Ninguna,0,0,0,,,,,,,
DE0006289309,iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR Dist,EXX1,iShares,ETF,Pasiva,,Dist,EUR,No,0.0051,,RV,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Ninguna,0,0,0,0.522,0.4681,0.3251,,,,1
IE00B5W4TY14,iShares MSCI Korea UCITS ETF USD Acc,CSKR,iShares,ETF,Pasiva,,Acc,USD,No,0.0065,,RV,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,0,Ninguna,0,0,0,1.875,0.4912,0.1788,,,,1
IE0003A512E4,ARK Artificial Intelligence & Robotics UCITS ETF USD Acc,ARKI,ARK Invest,ETF,Activa,,Acc,USD,No,0.0075,,RV,1,0,0,0,0.8855,0.0141,0,0.0331,0.0201,0,0.0472,0,0,0,0,0,0,0,0,,,,,,,,0,Ninguna,0,0,0,0.2796,,,,,,
IE00BMH5YF48,Global X Cloud Computing UCITS ETF USD Acc,CLO,Global X,ETF,Pasiva,,Acc,USD,No,0.0055,,RV,1,0,0,0,0.9005,0.0223,0.0025,0.035,0.0196,0,0,0,0,0,0.0201,0,0,0,0,0.909,0,0,0.0184,0,0,0.0726,0,Ninguna,0,0,0,-0.0235,,,,,,
IE00B1XNHC34,iShares Global Clean Energy Transition UCITS ETF USD Dist,INRG,iShares,ETF,Pasiva,,Dist,USD,No,0.0065,,RV,1,0,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,,0,Ninguna,0,0,0,0.5814,0.0496,-0.0162,,,,1
